開催回,日付,第1数字,第2数字,第3数字,第4数字,第5数字,BONUS数字,セット
1,1999/4/13,1,3,17,20,25,26,A
2,1999/4/27,2,11,12,21,30,28,B
3,1999/5/11,1,8,10,24,30,28,E
4,1999/5/25,11,12,14,20,31,29,C
5,1999/6/8,8,9,15,21,25,23,D
6,1999/6/22,2,11,16,24,29,4,I
7,1999/7/6,3,24,25,26,31,2,F
8,1999/7/20,22,24,25,28,30,21,G
9,1999/8/3,2,11,12,13,28,15,J
10,1999/8/17,8,19,21,23,30,5,H
11,1999/8/31,17,18,19,20,30,31,F
12,1999/9/14,5,9,13,16,19,21,A
13,1999/9/28,6,11,18,25,28,20,J
14,1999/10/5,2,21,24,26,29,28,E
15,1999/10/12,6,8,17,23,24,22,B
16,1999/10/19,2,20,24,26,27,23,D
17,1999/10/26,10,18,20,25,27,1,C
18,1999/11/2,1,14,16,23,25,27,I
19,1999/11/9,2,9,10,22,27,1,G
20,1999/11/16,14,20,22,25,30,15,H
21,1999/11/23,3,15,22,25,31,6,A
22,1999/11/30,4,6,26,28,30,14,D
23,1999/12/7,2,13,18,22,26,15,B
24,1999/12/14,12,14,19,26,28,15,J
25,1999/12/21,2,3,7,18,29,15,F
26,1999/12/28,7,8,9,14,15,4,C
27,2000/1/4,10,16,20,21,31,14,H
28,2000/1/11,2,9,15,22,29,11,I
29,2000/1/18,9,12,17,26,31,15,E
30,2000/1/25,10,15,17,18,30,16,G
31,2000/2/1,14,20,21,24,28,17,A
32,2000/2/8,2,11,13,16,24,20,J
33,2000/2/15,2,3,8,9,30,23,B
34,2000/2/22,4,9,18,28,29,12,C
35,2000/2/29,10,11,18,24,26,29,F
36,2000/3/7,4,8,15,16,21,25,D
37,2000/3/14,6,7,10,16,31,20,E
38,2000/3/21,11,16,17,19,31,4,A
39,2000/3/28,1,9,15,26,30,11,H
40,2000/4/4,4,16,24,25,27,5,I
41,2000/4/11,10,16,19,22,26,29,A
42,2000/4/18,2,5,19,24,31,28,G
43,2000/4/25,3,6,11,16,30,5,H
44,2000/5/2,5,18,20,25,27,11,B
45,2000/5/9,7,13,19,24,26,11,E
46,2000/5/16,2,10,22,23,26,6,C
47,2000/5/23,2,6,8,17,29,10,F
48,2000/5/30,2,9,11,13,31,18,D
49,2000/6/6,10,13,14,23,25,12,B
50,2000/6/13,4,5,6,8,10,26,H
51,2000/6/20,5,7,15,16,31,2,A
52,2000/6/27,4,10,12,26,31,20,D
53,2000/7/4,4,13,14,15,17,30,E
54,2000/7/11,4,5,15,18,21,16,C
55,2000/7/18,4,10,11,18,31,3,F
